0	4906866	93134	58.0824	14133.6	345.21	
-0.01	4926704	73296	56.9611	13070.1	314.92	
-0.1	4988412	11588	36.5811	3840.92	147.96	
0	4912746	87254	52.2416	13401.4	313.94	
-0.01	4932077	67923	52.582	12196.5	287.47	
-0.1	4990352	9648	34.0597	2797.94	138.53	
0	4915244	84756	51.6984	12824.5	209.04	
-0.01	4934459	65541	50.9196	11749.2	190.17	
-0.1	4990984	9016	33.3797	2583.7	93.98	
0	4917973	82027	46.7944	12486	278.67	
-0.01	4937780	62220	46.4628	11341.2	251.74	
-0.1	4992115	7885	31.1068	2165.15	126.95	
0	4920168	79832	44.6293	12226.9	262.7	
-0.01	4939697	60303	44.8073	11013.7	243.63	
-0.1	4992774	7226	30.0079	1957.95	124.79	
0	4921683	78317	43.461	12012.1	156.78	
-0.01	4942084	57916	43.2919	10852.5	142.5	
-0.1	4992887	7113	29.282	1809.32	73.87	
0	4923823	76177	42.7237	11843.2	255.52	
-0.01	4943114	56886	42.6702	10636.9	233.96	
-0.1	4993282	6718	29.0785	1738.47	122.55	
0	4924403	75597	42.6706	11747.8	180.16	
-0.01	4943688	56312	41.7361	10618.8	164.19	
-0.1	4993562	6438	28.7367	1683.18	85.64	
0	4925920	74080	41.7036	11647.9	251.8	
-0.01	4945223	54777	41.2384	10468.6	228.88	
-0.1	4993780	6220	28.3401	1559.39	123.63	
0	4926022	73978	41.0984	11589.9	201.16	
-0.01	4945292	54708	40.8425	10345.9	167.99	
-0.1	4993902	6098	28.0793	1586.88	71.56	
0	4925986	74014	40.8779	11436	254.38	
-0.01	4946066	53934	40.2936	10388	227.86	
-0.1	4993896	6104	27.6492	1533.78	122.79	
0	4926501	73499	40.5698	11424.5	179.54	
-0.01	4946870	53130	39.8556	10338	174.53	
-0.1	4994125	5875	27.7595	1473.69	94.72	
0	4926756	73244	40.006	11428.5	171.86	
-0.01	4947179	52821	39.88	10316.9	149.77	
-0.1	4994102	5898	27.5284	1492.91	85.77	
