-0.3	9997706	2294	172.569	331.032	98.734	
-0.2	9995861	4139	202.932	516.221	116.596	
-0.15	9993920	6080	226.041	731.184	115.351	
-0.1	9990000	10000	261.078	1193.54	154.704	
-0.09	9988600	11400	270.473	1371.13	139.834	
-0.08	9986912	13088	281.727	1696.45	169.553	
-0.07	9984387	15613	293.59	2131.94	173.129	
-0.06	9980694	19306	306.803	2842.95	174.322	
-0.05	9975299	24701	322.675	3787.71	197.504	
-0.04	9966205	33795	338.919	5133.6	219.136	
-0.03	9952844	47156	355.225	6830.41	278.477	
-0.02	9931991	68009	370.771	8536.09	240.343	
-0.01	9901686	98314	380.317	9978.38	281.779	
-0.009	9898095	101905	380.312	10152.8	285.687	
-0.008	9893110	106890	381.509	10305.6	318.354	
-0.007	9889701	110299	381.569	10425.1	315.754	
-0.006	9885711	114289	382.458	10515.4	297.998	
-0.005	9880533	119467	381.985	10624.6	324.581	
-0.004	9876703	123297	382.051	10796.4	336.934	
-0.003	9872873	127127	382.604	10835.8	472.131	
-0.002	9867162	132838	382.689	11000.2	362.041	
-0.001	9862556	137444	382.68	11066.5	337.884	
0	9857882	142118	382.77	11180.9	347.093	
0.001	9853693	146307	382.611	11295.1	319.445	
0.002	9848487	151513	382.075	11388.8	326.491	
0.003	9843175	156825	381.49	11551.7	449.291	
0.004	9838155	161845	381.573	11594.1	328.061	
0.005	9831886	168114	381.315	11704.3	360.337	
0.006	9826090	173910	380.885	11795.5	380.215	
0.007	9820461	179539	379.395	11852.8	450.44	
0.008	9814498	185502	378.784	11937.8	353.22	
0.009	9807964	192036	377.734	12007.4	370.216	
0.01	9802204	197796	377.043	12076.7	392.575	
0.02	9736587	263413	364.614	12633.5	643.66	
0.03	9661375	338625	347.925	12872.5	723.542	
0.04	9581775	418225	329.74	12972.1	821.3	
0.05	9498778	501222	312.718	12917.6	898.541	
0.06	8471660	528340	295.961	12854.1	774.699	
0.07	9328807	671193	281.723	12728.3	862.938	
0.08	9245711	754289	268.925	12602.2	906.293	
0.09	9161234	838766	257.397	12500.4	1026.35	
0.1	9080763	919237	247.222	12379.9	1057.51	
0.15	8690739	1309261	209.003	11905.9	1527.82	
0.2	6663321	1336679	183.339	11583.8	1546.33	
0.3	1538198	461802	149.368	11169.3	1992.64	
