-0.3	9997529	2471	173.464	343.663	199.806	
-0.2	9995797	4203	204.022	529.688	249.557	
-0.15	9993963	6037	227.255	719.428	239.837	
-0.1	9989867	10133	262.286	1195.23	340.299	
-0.09	9988463	11537	271.779	1401.92	296.78	
-0.08	9986627	13373	282.401	1709.61	376.249	
-0.07	9983991	16009	294.284	2175.27	366.485	
-0.06	9980705	19295	307.999	2881.2	398.454	
-0.05	9974891	25109	322.782	3936.22	460.054	
-0.04	9965971	34029	339.262	5236.96	520.556	
-0.03	9952367	47633	356.321	6903.29	642.954	
-0.02	9931677	68323	370.69	8549.31	581.872	
-0.01	9900475	99525	380.127	10003.7	718.133	
-0.009	9897522	102478	380.902	10121.3	703.592	
-0.008	9892921	107079	380.928	10329.9	828.427	
-0.007	9888921	111079	382.451	10438.8	829.067	
-0.006	9884937	115063	382.04	10542.8	760.999	
-0.005	9880321	119679	382.074	10664.7	870.237	
-0.004	9876216	123784	382.324	10739	908.461	
-0.003	9872219	127781	382.815	10869.4	1121.82	
-0.002	9867700	132300	382.899	10952.6	980.886	
-0.001	9862351	137649	382.833	11134	927.527	
0	9857415	142585	382.094	11183.4	934.42	
0.001	9852800	147200	382.062	11309.7	847.481	
0.002	9847546	152454	382.036	11388.3	905.097	
0.003	9841942	158058	381.982	11501.5	1108.57	
0.004	9837879	162121	381.691	11586.4	948.95	
0.005	9832561	167439	380.772	11695.3	981.766	
0.006	9826804	173196	380.153	11790.3	1017.35	
0.007	9821596	178404	379.64	11862.1	1076.28	
0.008	9815165	184835	379.398	11912.4	962.577	
0.009	9809792	190208	377.75	11990.8	1008.36	
0.01	9802971	197029	377.199	12038.8	1126.17	
0.02	9736585	263415	365.137	12565	1693.75	
0.03	9664559	335441	347.99	12842.9	1944.44	
0.04	9583820	416180	330.519	12924.2	2284.47	
0.05	9501843	498157	312.974	12921.3	2617.95	
0.06	8478492	521508	297.188	12862.5	2506.4	
0.07	9336169	663831	282.623	12719.3	2814.11	
0.08	9252871	747129	269.359	12601.5	3084.03	
0.09	9170658	829342	258.088	12492.1	3471.06	
0.1	9090375	909625	247.831	12380.8	3663.7	
0.15	8702670	1297330	209.57	11899.4	5432.64	
0.2	6676436	1323564	183.879	11576.6	5662.12	
0.3	1542198	457802	150.164	11195.4	6735.07	
